Group F,Morocco,GK,Munir Mohamedi,Al-Wehda,Saudi Arabia,10,0,0,0,3,0,0.3
Group D,France,GK,Hugo Lloris,Tottenham Hotspur,England,21,0,0,0,6,0,0.29
Group E,Japan,GK,Daniel Schmidt,Sint-Truiden,Belgium,14,0,0,0,4,0,0.29
Group E,Spain,GK,Robert Sánchez,Brighton & Hove Albion,England,14,0,0,0,4,0,0.29
Group G,Serbia,GK,Vanja Milinković-Savić,Torino,Italy,17,0,0,0,5,0,0.29
Group H,Ghana,GK,Ibrahim Danlad,Asante Kotoko,Ghana,7,0,0,0,2,0,0.29
Group A,Qatar,GK,Saad Al-Sheeb,Al-Sadd,Qatar,221,0,0,0,61,0,0.28
Group C,Saudi Arabia,GK,Mohammed Al-Rubaie,Al-Ahli,Saudi Arabia,36,0,0,0,10,0,0.28
Group D,France,GK,Steve Mandanda,Rennes,France,18,0,0,0,5,0,0.28
Group H,South Korea,GK,Jo Hyeon-woo,Ulsan Hyundai,South Korea,43,0,0,0,12,0,0.28
Group H,Portugal,GK,José Sá,Wolverhampton Wanderers,England,15,0,0,0,4,0,0.27
Group A,Qatar,GK,Yousef Hassan,Al-Gharafa,Qatar,105,0,0,0,27,0,0.26
Group A,Netherlands,GK,Remko Pasveer,Ajax,Netherlands,20,0,0,0,5,0,0.25
Group C,Argentina,GK,Emiliano Martínez,Aston Villa,England,16,0,0,0,4,0,0.25
Group E,Germany,GK,Kevin Trapp,Eintracht Frankfurt,Germany,24,0,0,0,6,0,0.25
Group E,Spain,GK,David Raya,Brentford,England,16,0,0,0,4,0,0.25
Group H,Portugal,GK,Rui Patrício,Roma,Italy,20,0,0,0,5,0,0.25
Group A,Senegal,GK,Seny Dieng,Queens Park Rangers,England,22,0,0,0,5,0,0.23
Group B,England,GK,Jordan Pickford,Everton,England,14,0,0,0,3,0,0.21
Group D,Australia,GK,Danny Vukovic,Central Coast Mariners,Australia,5,0,0,0,1,0,0.2
Group E,Japan,GK,Shūichi Gonda,Shimizu S-Pulse,Japan,35,0,0,0,7,0,0.2
Group F,Belgium,GK,Thibaut Courtois,Real Madrid,Spain,15,0,0,0,3,0,0.2
Group G,Switzerland,GK,Jonas Omlin,Montpellier,France,10,0,0,0,2,0,0.2
Group C,Poland,GK,Łukasz Skorupski,Bologna,Italy,16,0,0,0,3,0,0.19
Group C,Mexico,GK,Alfredo Talavera,Juárez,Mexico,18,0,0,0,3,0,0.17
Group C,Mexico,GK,Rodolfo Cota,León,Mexico,18,0,0,0,3,0,0.17
Group D,Denmark,GK,Kasper Schmeichel,Nice,France,18,0,0,0,3,0,0.17
Group F,Canada,GK,Dayne St. Clair,Minnesota United FC,United States,33,0,0,0,5,0,0.15
Group F,Croatia,GK,Dominik Livaković,Dinamo Zagreb,Croatia,28,0,0,0,4,0,0.14
Group H,Ghana,GK,Lawrence Ati-Zigi,St. Gallen,Switzerland,14,0,0,0,2,0,0.14
Group D,Denmark,GK,Oliver Christensen,Hertha BSC,Germany,16,0,0,0,2,0,0.13
Group F,Morocco,GK,Yassine Bounou,Sevilla,Spain,16,0,0,0,2,0,0.13
Group A,Senegal,GK,Édouard Mendy,Chelsea,England,11,0,0,0,1,0,0.09
Group B,Iran,GK,Amir Abedzadeh,Ponferradina,Spain,11,0,0,0,1,0,0.09
Group D,Australia,FW,Garang Kuol,Central Coast Mariners,Australia,4,2,2,138,0,2.609,0
Group C,Saudi Arabia,FW,Hattan Bahebri,Al-Shabab,Saudi Arabia,8,1,4,295,0,1.525,0
Group G,Brazil,FW,Neymar,Paris Saint-Germain,France,20,15,12,1624,0,1.496,0
Group G,Cameroon,FW,Eric Maxim Choupo-Moting,Bayern Munich,Germany,16,11,3,850,0,1.482,0
Group F,Morocco,FW,Walid Cheddira,Bari,Italy,15,14,5,1196,0,1.43,0
Group E,Germany,MF,Jamal Musiala,Bayern Munich,Germany,22,12,10,1388,0,1.427,0
Group C,Argentina,FW,Lionel Messi,Paris Saint-Germain,France,19,12,14,1657,0,1.412,0
Group A,Netherlands,FW,Cody Gakpo,PSV Eindhoven,Netherlands,24,13,17,1960,0,1.378,0
Group D,Australia,FW,Craig Goodwin,Adelaide United,Australia,6,3,4,458,0,1.376,0
Group F,Belgium,FW,Michy Batshuayi,Fenerbahçe,Turkey,13,8,1,593,0,1.366,0
Group E,Germany,FW,Serge Gnabry,Bayern Munich,Germany,23,10,10,1330,0,1.353,0
